Video,Colony,Location,Inoculum,Contacts,Start_time,Stop_time,Notes
MVI_0010.MP4,G,Outhouse,Corpse,2,0:30,20:30,
MVI_0011.MP4,E,Outhouse,Corpse,7,5:00,25:00:00,
MVI_0012.MP4,F,Outhouse,Corpse,1,5:00,25:00:00,
MVI_0013.MP4,I,Outhouse,Corpse,0,5:00,25:00:00,
MVI_0014.MP4,X,Outhouse,Corpse,1,5:00,25:00:00,
MVI_0015.MP4,Y,Outhouse,Corpse,0,1:30,21:30,
MVI_0016.MP4,H,Outhouse,Corpse,4,2:00,22:00,
MVI_0017.MP4,J,Outhouse,Corpse,2,5:00,25:00:00,
MVI_0018.MP4,X,Outhouse,Feces,0,2:00,22:00:00,
MVI_0019.MP4,Y,Outhouse,Feces,0,2:00,22:00:00,
MVI_0020.MP4,H,Outhouse,Feces,2,1:00,21:00:00,
MVI_0021.MP4,J,Outhouse,Feces,3,5:00,25:00:00,
MVI_1602.MP4,G,Nest,Corpse,,1:30,21:30:00,out of sight 12:30:00; counted 13 up until then
MVI_1603.MP4,E,Nest,Corpse,,,,out of sight
MVI_1604.MP4,F,Nest,Corpse,,,,out of sight
MVI_1605.MP4,I,Nest,Corpse,,,,out of sight
MVI_1606.MP4,X,Nest,Corpse,,,,out of sight
MVI_1607.MP4,Y,Nest,Corpse,,,,out of sight
MVI_1608.MP4,H,Nest,Corpse,,,,out of sight
MVI_1609.MP4,J,Nest,Corpse,,,,out of sight
MVI_1610.MP4,X,Nest,Feces,63,2:40,22:40:00,
MVI_1611.MP4,Y,Nest,Feces,99,2:00,22:00:00,
MVI_1612.MP4,H,Nest,Feces,66,1:00,21:00:00,
MVI_1613.MP4,J,Nest,Feces,42,4:00,24:00:00,
MVI_1614.MP4,X,Nest edge,Feces,25,5:00,25:00:00,
MVI_1615.MP4,H,Nest edge,Feces,6,5:00,25:00:00,
MVI_0022.MP4,Y,Nest edge,Feces,9,5:00,25:00:00,
MVI_0023.MP4,J,Nest edge,Feces,7,2:00,22:00:00,
MVI_1593.MP4,E,Outhouse,Feces,0,5:00,25:00:00,
MVI_1597.MP4,I,Outhouse,Feces,0,5:00,25:00:00,
MVI_0002.MP4,G,Outhouse,Feces,3,1:00,21:00:00,
MVI_1594.MP4,F,Outhouse,Feces,4,5:00,25:00:00,
MVI_0003.MP4,E,Nest,Feces,33,3:00,23:00:00,
MVI_0004.MP4,F,Nest,Feces,26,4:00,24:00:00,
MVI_0007.MP4,I,Nest,Feces,34,4:00,24:00:00,
MVI_0001.MP4,G,Nest,Feces,19,1:00,21:00:00,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,