Bee,Colony,Location,Inoculum,Crithidia
1,G,Nest,Feces,405
2,G,Nest,Feces,316
3,G,Nest,Feces,333
4,G,Nest,Feces,124
5,G,Nest,Feces,515
6,G,Nest,Feces,370
7,G,Nest,Feces,297
8,G,Nest,Feces,325
9,G,Nest,Feces,148
10,G,Nest,Feces,573
11,G,Outhouse,Feces,0
12,G,Outhouse,Feces,0
13,G,Outhouse,Feces,0
14,G,Outhouse,Feces,0
15,G,Outhouse,Feces,0
16,G,Outhouse,Feces,0
17,G,Outhouse,Feces,0
18,G,Outhouse,Feces,0
19,G,Outhouse,Feces,0
20,G,Outhouse,Feces,0
21,G,Nest,Corpses,0
22,G,Nest,Corpses,0
23,G,Nest,Corpses,0
24,G,Nest,Corpses,0
25,G,Nest,Corpses,0
26,G,Nest,Corpses,0
27,G,Nest,Corpses,0
28,G,Nest,Corpses,0
29,G,Nest,Corpses,0
30,G,Nest,Corpses,0
31,G,Outhouse,Corpses,0
32,G,Outhouse,Corpses,0
33,G,Outhouse,Corpses,0
34,G,Outhouse,Corpses,0
35,G,Outhouse,Corpses,0
36,G,Outhouse,Corpses,0
37,G,Outhouse,Corpses,0
38,G,Outhouse,Corpses,0
39,G,Outhouse,Corpses,0
40,G,Outhouse,Corpses,0
41,E,Nest,Feces,268
42,E,Nest,Feces,78
43,E,Nest,Feces,444
44,E,Nest,Feces,58
45,E,Nest,Feces,114
46,E,Nest,Feces,13
47,E,Nest,Feces,310
48,E,Nest,Feces,86
49,E,Nest,Feces,215
50,E,Nest,Feces,593
51,E,Outhouse,Feces,0
52,E,Outhouse,Feces,0
53,E,Outhouse,Feces,0
54,E,Outhouse,Feces,0
55,E,Outhouse,Feces,0
56,E,Outhouse,Feces,0
57,E,Outhouse,Feces,0
58,E,Outhouse,Feces,0
59,E,Outhouse,Feces,0
60,E,Outhouse,Feces,0
61,E,Nest,Corpses,5
62,E,Nest,Corpses,0
63,E,Nest,Corpses,27
64,E,Nest,Corpses,86
65,E,Nest,Corpses,0
66,E,Nest,Corpses,18
67,E,Nest,Corpses,0
68,E,Nest,Corpses,0
69,E,Nest,Corpses,0
70,E,Nest,Corpses,0
71,E,Outhouse,Corpses,0
72,E,Outhouse,Corpses,0
73,E,Outhouse,Corpses,0
74,E,Outhouse,Corpses,0
75,E,Outhouse,Corpses,0
76,E,Outhouse,Corpses,0
77,E,Outhouse,Corpses,0
78,E,Outhouse,Corpses,0
79,E,Outhouse,Corpses,0
80,E,Outhouse,Corpses,0
81,F,Outhouse,Feces,0
82,F,Outhouse,Feces,0
83,F,Outhouse,Feces,0
84,F,Outhouse,Feces,0
85,F,Outhouse,Feces,0
86,F,Outhouse,Feces,0
87,F,Outhouse,Feces,0
88,F,Outhouse,Feces,0
89,F,Outhouse,Feces,0
90,F,Outhouse,Feces,0
91,F,Nest,Feces,49
92,F,Nest,Feces,79
93,F,Nest,Feces,288
94,F,Nest,Feces,3
95,F,Nest,Feces,71
96,F,Nest,Feces,270
97,F,Nest,Feces,102
98,F,Nest,Feces,114
99,F,Nest,Feces,66
100,F,Nest,Feces,295
101,F,Nest,Corpses,0
102,F,Nest,Corpses,0
103,F,Nest,Corpses,0
104,F,Nest,Corpses,0
105,F,Nest,Corpses,0
106,F,Nest,Corpses,0
107,F,Nest,Corpses,0
108,F,Nest,Corpses,0
109,F,Nest,Corpses,0
110,F,Nest,Corpses,0
111,F,Outhouse,Corpses,0
112,F,Outhouse,Corpses,0
113,F,Outhouse,Corpses,0
114,F,Outhouse,Corpses,0
115,F,Outhouse,Corpses,0
116,F,Outhouse,Corpses,0
117,F,Outhouse,Corpses,0
118,F,Outhouse,Corpses,0
119,F,Outhouse,Corpses,0
120,F,Outhouse,Corpses,0
121,I,Nest,Feces,97
122,I,Nest,Feces,20
123,I,Nest,Feces,78
124,I,Nest,Feces,4
125,I,Nest,Feces,13
126,I,Nest,Feces,55
127,I,Nest,Feces,32
128,I,Nest,Feces,27
129,I,Nest,Feces,23
130,I,Nest,Feces,153
131,I,Outhouse,Feces,0
132,I,Outhouse,Feces,0
133,I,Outhouse,Feces,0
134,I,Outhouse,Feces,0
135,I,Outhouse,Feces,0
136,I,Outhouse,Feces,0
137,I,Outhouse,Feces,0
138,I,Outhouse,Feces,0
139,I,Outhouse,Feces,0
140,I,Outhouse,Feces,0
141,I,Nest,Corpses,0
142,I,Nest,Corpses,0
143,I,Nest,Corpses,0
144,I,Nest,Corpses,0
145,I,Nest,Corpses,0
146,I,Nest,Corpses,0
147,I,Nest,Corpses,0
148,I,Nest,Corpses,0
149,I,Nest,Corpses,0
150,I,Nest,Corpses,0
151,I,Outhouse,Corpses,0
152,I,Outhouse,Corpses,0
153,I,Outhouse,Corpses,0
154,I,Outhouse,Corpses,0
155,I,Outhouse,Corpses,0
156,I,Outhouse,Corpses,0
157,I,Outhouse,Corpses,0
158,I,Outhouse,Corpses,0
159,I,Outhouse,Corpses,0
160,I,Outhouse,Corpses,0
161,X,Nest,Feces,126
162,X,Nest,Feces,13
163,X,Nest,Feces,225
164,X,Nest,Feces,67
165,X,Nest,Feces,561
166,X,Nest,Feces,226
167,X,Nest,Feces,102
168,X,Nest,Feces,10
169,X,Nest,Feces,109
170,X,Nest,Feces,177
171,X,Outhouse,Feces,0
172,X,Outhouse,Feces,0
173,X,Outhouse,Feces,0
174,X,Outhouse,Feces,0
175,X,Outhouse,Feces,0
176,X,Outhouse,Feces,0
177,X,Outhouse,Feces,0
178,X,Outhouse,Feces,0
179,X,Outhouse,Feces,0
180,X,Outhouse,Feces,0
181,X,Nest,Corpses,0
182,X,Nest,Corpses,0
183,X,Nest,Corpses,0
184,X,Nest,Corpses,0
185,X,Nest,Corpses,0
186,X,Nest,Corpses,0
187,X,Nest,Corpses,0
188,X,Nest,Corpses,0
189,X,Nest,Corpses,0
190,X,Nest,Corpses,0
191,X,Outhouse,Corpses,0
192,X,Outhouse,Corpses,0
193,X,Outhouse,Corpses,0
194,X,Outhouse,Corpses,0
195,X,Outhouse,Corpses,0
196,X,Outhouse,Corpses,0
197,X,Outhouse,Corpses,0
198,X,Outhouse,Corpses,0
199,X,Outhouse,Corpses,0
200,X,Outhouse,Corpses,0
201,Y,Nest,Feces,477
202,Y,Nest,Feces,2
203,Y,Nest,Feces,189
204,Y,Nest,Feces,144
205,Y,Nest,Feces,250
206,Y,Nest,Feces,253
207,Y,Nest,Feces,57
208,Y,Nest,Feces,346
209,Y,Nest,Feces,39
210,Y,Nest,Feces,740
211,Y,Outhouse,Feces,0
212,Y,Outhouse,Feces,0
213,Y,Outhouse,Feces,0
214,Y,Outhouse,Feces,0
215,Y,Outhouse,Feces,0
216,Y,Outhouse,Feces,0
217,Y,Outhouse,Feces,0
218,Y,Outhouse,Feces,0
219,Y,Outhouse,Feces,0
220,Y,Outhouse,Feces,0
221,Y,Nest,Corpses,0
222,Y,Nest,Corpses,0
223,Y,Nest,Corpses,0
224,Y,Nest,Corpses,0
225,Y,Nest,Corpses,0
226,Y,Nest,Corpses,0
227,Y,Nest,Corpses,0
228,Y,Nest,Corpses,0
229,Y,Nest,Corpses,0
230,Y,Nest,Corpses,0
231,Y,Outhouse,Corpses,0
232,Y,Outhouse,Corpses,0
233,Y,Outhouse,Corpses,0
234,Y,Outhouse,Corpses,0
235,Y,Outhouse,Corpses,0
236,Y,Outhouse,Corpses,0
237,Y,Outhouse,Corpses,0
238,Y,Outhouse,Corpses,0
239,Y,Outhouse,Corpses,0
240,Y,Outhouse,Corpses,0
241,H,Nest,Feces,166
242,H,Nest,Feces,53
243,H,Nest,Feces,169
244,H,Nest,Feces,71
245,H,Nest,Feces,3
246,H,Nest,Feces,0
247,H,Nest,Feces,42
248,H,Nest,Feces,105
249,H,Nest,Feces,59
250,H,Nest,Feces,185
251,H,Outhouse,Feces,0
252,H,Outhouse,Feces,0
253,H,Outhouse,Feces,0
254,H,Outhouse,Feces,0
255,H,Outhouse,Feces,0
256,H,Outhouse,Feces,0
257,H,Outhouse,Feces,0
258,H,Outhouse,Feces,0
259,H,Outhouse,Feces,0
260,H,Outhouse,Feces,0
261,H,Nest,Corpses,0
262,H,Nest,Corpses,0
263,H,Nest,Corpses,0
264,H,Nest,Corpses,0
265,H,Nest,Corpses,0
266,H,Nest,Corpses,0
267,H,Nest,Corpses,0
268,H,Nest,Corpses,0
269,H,Nest,Corpses,0
270,H,Nest,Corpses,0
271,H,Outhouse,Corpses,0
272,H,Outhouse,Corpses,0
273,H,Outhouse,Corpses,0
274,H,Outhouse,Corpses,0
275,H,Outhouse,Corpses,0
276,H,Outhouse,Corpses,0
277,H,Outhouse,Corpses,0
278,H,Outhouse,Corpses,0
279,H,Outhouse,Corpses,0
280,H,Outhouse,Corpses,0
281,J,Nest,Feces,7
282,J,Nest,Feces,404
283,J,Nest,Feces,1280
284,J,Nest,Feces,542
285,J,Nest,Feces,290
286,J,Nest,Feces,6
287,J,Nest,Feces,51
288,J,Nest,Feces,6
289,J,Nest,Feces,8
290,J,Nest,Feces,8
291,J,Outhouse,Feces,0
292,J,Outhouse,Feces,0
293,J,Outhouse,Feces,0
294,J,Outhouse,Feces,0
295,J,Outhouse,Feces,0
296,J,Outhouse,Feces,0
297,J,Outhouse,Feces,0
298,J,Outhouse,Feces,0
299,J,Outhouse,Feces,0
300,J,Outhouse,Feces,0
301,J,Nest,Corpses,0
302,J,Nest,Corpses,0
303,J,Nest,Corpses,0
304,J,Nest,Corpses,0
305,J,Nest,Corpses,0
306,J,Nest,Corpses,0
307,J,Nest,Corpses,0
308,J,Nest,Corpses,0
309,J,Nest,Corpses,0
310,J,Nest,Corpses,0
311,J,Outhouse,Corpses,0
312,J,Outhouse,Corpses,0
313,J,Outhouse,Corpses,0
314,J,Outhouse,Corpses,0
315,J,Outhouse,Corpses,0
316,J,Outhouse,Corpses,0
317,J,Outhouse,Corpses,0
318,J,Outhouse,Corpses,0
319,J,Outhouse,Corpses,0
320,J,Outhouse,Corpses,0