Colony,Rep,ID,Location,Total_pixels,Green_pixels,
I,1,I_1,Nest,1488526,98374,
I,1,I_1,Foam,2154938,569273,
I,2,I_2,Nest,1738704,121451,
I,2,I_2,Foam,2045644,289233,
G,1,G_1,Nest,1803740,391503,
G,1,G_1,Foam,2041094,13321,
G,2,G_2,Nest,1818480,319282,
G,2,G_2,Foam,1940474,148656,
E,1,E_1,Nest,1772362,553496,
E,1,E_1,Foam,2011080,168892,
E,2,E_2,Nest,1698124,319453,
E,2,E_2,Foam,2108374,61422,
H,1,H_1,Nest,1759362,335119,
H,1,H_1,Foam,2138468,98728,
H,2,H_2,Nest,1600922,48647,
H,2,H_2,Foam,2169570,334079,
F,1,F_1,Nest,1667022,145282,
F,1,F_1,Foam,2189716,1208247,
F,2,F_2,Nest,1516628,47041,
F,2,F_2,Foam,2246676,1181547,
B,2,B_2,Nest,1770456,84051,crithidia
B,2,B_2,Foam,2049340,479,crithidia
B,1,B_1,Nest,1748070,171820,crithidia
B,1,B_1,Foam,2057784,2235,crithidia
C,1,C_1,Nest,1805340,82075,
C,1,C_1,Foam,2129230,80740,
C,2,C_2,Nest,1885278,52090,
C,2,C_2,Foam,2074086,154031,
D,1,D_1,Nest,1770532,122937,
D,1,D_1,Foam,2098306,115619,
D,2,D_2,Nest,1873036,18202,
D,2,D_2,Foam,2018982,199639,
A,1,A_1,Nest,1878386,98461,
A,1,A_1,Foam,2039720,113539,
A,2,A_2,Nest,1714042,19187,
A,2,A_2,Foam,2169638,200717,